stop_id,route_type_id
510656,0
310918,0
643305,0
93036,0
573952,0
400027,0
456020,0
639289,0
403268,0
206806,0
375721,0
634576,0
486693,0
351261,0
575009,0
602728,0
579865,0
610711,0
371073,0
570383,0
243640,0
188182,0
101858,0
336805,0
593677,0
505067,0
240046,0
271820,0
332805,0
469274,0
68992,0
283452,0
132164,0
224054,0
397352,0
658199,0
274083,0
476817,0
671643,0
521171,0
545602,0
501496,0
178419,0
560064,0
298138,0
309596,0
159418,0
38276,0
110493,0
96777,0
390695,0
683467,0
652953,0
541143,0
501114,0
571599,0
15030,0
385643,0
389157,0
538765,0
162899,0
196125,0
263752,0
253123,0
375173,0
528890,0
276767,0
224764,0
672209,0
522949,0
244866,0
346363,0
667704,0
361414,0
19235,0
591397,0
638033,0
163021,0
547972,0
668287,0
417762,0
450080,0
370410,0
585083,0
450189,0
640591,0
477285,0
599198,0
98896,0
152251,0
51158,0
407201,0
676117,0
297358,0
436331,0
391795,0
450442,0
553694,0
21635,0
423919,0
426424,0
484949,0
112212,0
650565,0
544525,0
148629,0
269240,0
661802,0
412187,0
579704,0
500612,0
91455,0
271179,0
514247,0
361902,0
162562,0
151140,0
167171,0
516176,0
372032,0
101424,0
270075,0
258814,0
367859,0
224515,0
459849,0
537315,0
470460,0
274700,0
135218,0
181672,0
641659,0
515230,0
208468,0
640721,0
124998,0
7011,0
320713,0
226568,0
179015,0
26991,0
557274,0
75306,0
180514,0
220713,0
151510,0
36105,0
84547,0
264962,0
508661,0
83617,0
478109,0
173590,0
30656,0
313340,0
171633,0
254309,0
33384,0
252311,0
268157,0
548601,0
124027,0
370883,0
105999,0
650999,0
218179,0
666969,0
339658,0
405829,0
476135,0
576736,0
441817,0
506095,0
234065,0
597773,0
457529,0
480031,0
171166,0
383771,0
529417,0
328179,0
239599,0
93087,0
649394,0
175941,0
272404,0
453945,0
109584,0
207680,0
240591,0
469519,0
492341,0
27469,0
453799,0
124678,0
35792,0
439024,0
620381,0
486169,0
421015,0
132935,0
129883,0
681769,0
18843,0
444857,0
437153,0
676407,0
46620,0
251094,0
122152,0
181060,0
36431,0
88050,0
456644,0
133521,0
159339,0
304437,0
111575,0
264611,0
594325,0
494387,0
48921,0
592505,0
161706,0
141916,0
20487,0
15373,0
367698,0
308397,0
304597,0
621144,0
136190,0
166102,0
537182,0
459410,0
299008,0
593136,0
338491,0
242707,0
304977,0
508168,0
676213,0
50931,0
406505,0
269654,0
228012,0
536250,0
645735,0
296454,0
288165,0
544397,0
54921,0
38675,0
220768,0
563520,0
295557,0
644361,0
370239,0
53280,0
524363,0
8568,0
502164,0
401530,0
25511,0
